% see /asl/data/hitran/H2020/ISOTOPES/convert2mass20.m 
% gasID   numiso   junk1       junk2        junk3     junk4 
     8    32.00223   1.99312e-03     3   1.18250e+03     48 
     9    63.96190   9.45678e-01     1   6.33910e+03    626 
     9    65.95770   4.19503e-02     1   6.36780e+03    646 
     9    64.96129   7.46446e-03     4   2.56070e+04    636 
     9    65.96615   3.79256e-03     1   1.36810e+04    628 
    10    45.99290   9.91616e-01     3   1.35750e+04    646 
    10    46.98994   3.64564e-03     2   9.29290e+03    656 
    11    17.02655   9.95872e-01     3   1.72520e+03   4111 
    11    18.02358   3.66129e-03     2   1.15330e+03   5111 
    12    62.99564   9.89110e-01     6   2.13930e+05    146 
    12    63.99268   3.63643e-03     4   1.43130e+05    156 
    13    17.00274   9.97473e-01     2   8.03480e+01     61 
    13    19.00699   2.00014e-03     2   8.08810e+01     81 
    13    18.00891   1.55371e-04     3   2.09310e+02     62 
    14    20.00623   9.99844e-01     4   4.14690e+01     19 
    14    21.01240   1.55741e-04     6   1.15910e+02     29 
    15    35.97668   7.57587e-01     8   1.60650e+02     15 
    15    37.97373   2.42257e-01     8   1.60890e+02     17 
    15    36.98285   1.18005e-04    12   4.62780e+02     25 
    15    38.97990   3.77350e-05    12   4.64130e+02     27 
    16    79.92616   5.06781e-01     8   2.00170e+02     19 
    16    81.92412   4.93063e-01     8   2.00230e+02     11 
    16    80.93234   7.89384e-05    12   5.86400e+02     29 
    16    82.93029   7.68016e-05    12   5.86760e+02     21 
    17   127.91230   9.99844e-01    12   3.88990e+02     17 
    17   128.91847   1.55741e-04    18   1.14710e+03     27 
    18    50.96377   7.55908e-01     4   3.29180e+03     56 
    18    52.96082   2.41720e-01     4   3.34920e+03     76 
    19    59.96699   9.37395e-01     1   1.22070e+03    622 
    19    61.96278   4.15828e-02     1   1.25310e+03    624 
    19    60.97034   1.05315e-02     2   2.48350e+03    632 
    19    60.96637   7.39908e-03     4   4.94870e+03    623 
    19    61.97123   1.87967e-03     1   1.31340e+03    822 
    19    62.96614   4.67176e-04     2   2.54650e+03    634 
    20    30.01056   9.86237e-01     1   2.84450e+03    126 
    20    31.01392   1.10802e-02     2   5.83680e+03    136 
    20    32.01481   1.97761e-03     1   2.98600e+03    128 
    21    51.97159   7.55790e-01     8   1.92720e+04    165 
    21    53.96864   2.41683e-01     8   1.96130e+04    167 
    22    28.00615   9.92687e-01     1   4.67100e+02     44 
    22    29.00318   7.29916e-03     6   6.44100e+02     45 
    23    27.01090   9.85114e-01     6   8.92200e+02    124 
    23    28.01425   1.10676e-02    12   1.83100e+03    134 
    23    28.00793   3.62174e-03     4   6.15280e+02    125 
    24    49.99233   7.48937e-01     4   5.79150e+04    215 
    24    51.98938   2.39491e-01     4   5.88320e+04    217 
    25    34.00548   9.94952e-01     1   9.84800e+03   1661 
    26    26.01565   9.77599e-01     1   4.12450e+02   1221 
    26    27.01900   2.19663e-02     8   1.65570e+03   1231 
    26    27.02182   3.04550e-04     6   1.59370e+03   1222 
    27    30.04695   9.76990e-01     1   7.08730e+04   1221 
    27    31.05031   2.19526e-02     2   3.61830e+04   1231 
    28    33.99724   9.99533e-01     2   3.24940e+03   1111 
    29    65.99172   9.86544e-01     1   7.00280e+04    269 
    29    66.99508   1.10837e-02     2   1.40060e+05    369 
    30   145.96249   9.50180e-01     1   1.61100e+06     29 
    31    33.98772   9.49884e-01     1   5.05790e+02    121 
    31    35.98351   4.21369e-02     1   5.04280e+02    141 
    31    34.98710   7.49766e-03     4   2.01470e+03    131 
    32    46.00548   9.83898e-01     4   3.91240e+04    126 
    33    32.99766   9.95107e-01     2   4.29980e+03    166 
    34    15.99492   9.97628e-01     1   6.72120e+00      6 
    35    96.95667   7.49570e-01    12   4.78640e+06   5646 
    35    98.95372   2.39694e-01    12   4.90820e+06   7646 
    36    29.99799   9.93974e-01     3   3.11660e+02     46 
    37    95.92108   5.05579e-01     8   2.83350e+04    169 
    37    97.91903   4.91894e-01     8   2.82330e+04    161 
    38    28.03130   9.77294e-01     1   1.10420e+04    221 
    38    29.03466   2.19595e-02     2   4.52310e+04    231 
    39    32.02622   9.85930e-01     2   7.05700e+04   2161 
    40    93.94181   5.00995e-01     4   8.30490e+04    219 
    40    95.93976   4.87433e-01     4   8.33920e+04    211 
    41    41.02655   9.73866e-01     3   8.86590e+04   2124 
    42    87.99362   9.88890e-01     1   1.26860e+05     29 
    43    50.01565   9.55998e-01     1   9.82150e+03   2211 
    44    51.01090   9.63346e-01     6   2.47110e+04   1224 
    45     2.01565   9.99688e-01     1   7.67120e+00     11 
    45     3.02183   3.11432e-04     6   2.98740e+01     12 
    46    43.97207   9.39624e-01     1   2.53180e+02     22 
    46    45.96787   4.16817e-02     1   2.57740e+02     24 
    46    44.97543   1.05565e-02     2   5.37450e+02     32 
    46    44.97146   7.41668e-03     4   1.02290e+03     23 
    47    79.95682   9.43434e-01     1   7.78330e+03     26 
    48    52.00615   9.70752e-01     1   1.55850e+04   4224 
    49    97.93262   5.66392e-01     1   1.48000e+06   2655 
    49    99.92967   3.62235e-01    16   3.04350e+06   2657 
    50    47.96699   9.47926e-01     1   8.42880e+02     26 
    50    49.96278   4.20500e-02     1   8.59730e+02     46 
    50    49.97123   1.90079e-03     1   9.10520e+02     28 
    51    34.02188   9.88428e-01     2   1.47070e+04    219 
    52    77.95248   3.65172e-01     1   1.63410e+03    411 
    52    75.95338   2.74129e-01     1   1.63400e+03    211 
    52    73.95555   2.05072e-01     1   1.63400e+03     11 
    52    76.95476   7.75517e-02    10   1.63410e+04    311 
    52    79.95270   7.75517e-02     1   1.63410e+03    611 
    53    75.94414   8.92811e-01     1   1.71870e+03    222 
    53    77.93994   7.92103e-02     1   2.79750e+03    224 
    53    76.94353   1.40944e-02     4   1.10090e+04    223 
    53    76.94750   1.00306e-02     2   3.56140e+03    232 
    54   141.92795   9.88428e-01     6   1.64270e+05    217 
    55    70.99829   9.96337e-01     3   3.47730e+05   4999 
