400 1.29808 -0.21958
400.01 1.29866 -0.279831
400.02 1.29923 -0.339147
400.03 1.29979 -0.397077
400.04 1.30035 -0.453224
400.05 1.30089 -0.507254
400.06 1.30144 -0.558898
400.07 1.30197 -0.607942
400.08 1.30251 -0.654216
400.09 1.30303 -0.697603
400.1 1.30356 -0.738036
400.11 1.30409 -0.775487
400.12 1.30461 -0.809955
400.13 1.30513 -0.841478
400.14 1.30565 -0.870155
400.15 1.30618 -0.896141
400.16 1.3067 -0.919601
400.17 1.30723 -0.940684
400.18 1.30776 -0.959514
400.19 1.3083 -0.976219
400.2 1.30884 -0.990945
400.21 1.30939 -1.00384
400.22 1.30994 -1.015
400.23 1.3105 -1.02448
400.24 1.31107 -1.03225
400.25 1.31164 -1.03823
400.26 1.31223 -1.04233
400.27 1.31282 -1.04444
400.28 1.31342 -1.04438
400.29 1.31404 -1.04193
400.3 1.31466 -1.03678
400.31 1.31528 -1.02862
400.32 1.31592 -1.01709
400.33 1.31656 -1.00184
400.34 1.31722 -0.982474
400.35 1.31787 -0.958614
400.36 1.31854 -0.929861
400.37 1.31921 -0.895823
400.38 1.31988 -0.856122
400.39 1.32055 -0.810399
400.4 1.32123 -0.758328
400.41 1.3219 -0.699634
400.42 1.32258 -0.634112
400.43 1.32326 -0.561637
400.44 1.32393 -0.482156
400.45 1.3246 -0.395675
400.46 1.32526 -0.30226
400.47 1.32592 -0.202065
400.48 1.32658 -0.0953853
400.49 1.32723 0.017333
400.5 1.32787 0.135521
400.51 1.3285 0.258529
400.52 1.32912 0.385625
400.53 1.32973 0.515963
400.54 1.33034 0.648547
400.55 1.33093 0.782255
400.56 1.33151 0.915881
400.57 1.33208 1.04818
400.58 1.33263 1.17784
400.59 1.33317 1.30354
400.6 1.3337 1.42388
400.61 1.33422 1.53746
400.62 1.33472 1.64296
400.63 1.3352 1.73911
400.64 1.33567 1.82477
400.65 1.33612 1.89895
400.66 1.33656 1.96081
400.67 1.33697 2.00968
400.68 1.33737 2.04507
400.69 1.33775 2.06673
400.7 1.33811 2.07459
400.71 1.33845 2.06882
400.72 1.33877 2.04981
400.73 1.33907 2.01813
400.74 1.33934 1.97456
400.75 1.3396 1.92005
400.76 1.33984 1.8556
400.77 1.34005 1.78232
