% The water continuum used by the December 2002 "version 7" AIRS
% fast model coefficient is a hybrid of kCARTA's 51 (aka 5.1) and
% 55 (aka 5.5) continuum models developed by UMBC based on the
% CDK models.
%
% Scott Hannon, 13 March 2003
%
% ID = AIRS channel ID (PGE version)
% freq = channel centroid frequency (cm^-1)
% CKD = kCARTA continuum version number
% mult = multiplier applied to the kCARTA continuum 
%
% in SPECTRA/ckd_lookupBIN_v60special.m we combine CKD 51 and CKD 55 as below
%
% ID    freq   CKD   mult
%---- -------- --- --------
  210  709.566  51  0.87000
  211  709.853  51  0.87000
  212  710.141  51  0.87000
  213  710.428  51  0.87000
  214  710.716  51  0.87000
  215  711.005  51  0.87000
  216  711.293  51  0.87000
  217  711.582  51  0.87000
  218  711.871  51  0.87000
  219  712.160  51  0.87000
  220  712.449  51  0.87000
  221  712.739  51  0.87000
  222  713.029  51  0.87000
  223  713.319  51  0.87000
  224  713.609  51  0.87000
  225  713.900  51  0.87000
  226  714.191  51  0.87000
  227  714.482  51  0.87000
  228  714.773  51  0.87000
  229  715.065  51  0.87000
  230  715.356  51  0.87000
  231  715.648  51  0.87000
  232  715.941  51  0.87000
  233  716.233  51  0.87000
  234  716.526  51  0.87000
  235  716.819  51  0.87000
  236  717.112  51  0.87000
  237  717.406  51  0.87000
  238  717.700  51  0.87000
  239  717.994  51  0.87000
  240  718.288  51  0.87000
  241  718.582  51  0.87000
  242  718.877  51  0.87000
  243  719.172  51  0.87000
  244  719.467  51  0.87000
  245  719.763  51  0.87000
  246  720.058  51  0.87000
  247  720.354  51  0.87000
  248  720.651  51  0.87000
  249  720.947  51  0.87000
  250  721.244  51  0.87000
  251  721.541  51  0.87000
  252  721.838  51  0.87000
  253  722.135  51  0.87000
  254  722.433  51  0.87000
  255  722.731  51  0.87000
  256  723.029  51  0.87000
  257  723.328  51  0.87000
  258  723.626  51  0.87000
  259  723.925  51  0.87000
  260  724.224  51  0.87000
  261  724.524  51  0.87000
